Security Sensitive,Not Security Sensitive
fflags,seed
fcsr[FRM],cycle
fcsr[FFLAGS],time
fcsr,instret
sstatus[SD],cycleh
sstatus[MXR],timeh
sstatus[SUM],instreth
sstatus[XS],hie
sstatus[FS],hcounteren
sstatus[VS],hgeie
sstatus[SPP],hip
sstatus[SPIE],hvip
sstatus[UPIE],hgeip
sstatus[SIE],henvcfg
sstatus[UIE],henvcfgh
sstatus,htimedelta
sedeleg[UEnvCall],htimedeltah
sedeleg[SAMO_Access_Fault],vsie
sedeleg[SAMO_Addr_Align],vstvec
sedeleg[Load_Access_Fault],vsscratch
sedeleg[Load_Addr_Align],vsepc
sedeleg[Breakpoint],vstval
sedeleg[Illegal_Instr],vsip
sedeleg[Fetch_Access_Fault],mvendorid
sedeleg[Fetch_Addr_Align],marchid
sedeleg,mimpid
sideleg,mhartid
sie,mstatus[TW]
stvec,mstatus[TVM]
scounteren,mstatus[MPP]
sscratch,mstatus[MPIE]
sepc,mstatus[MIE]
scause,misa[MXL]
stval,misa[Z]
sip,misa[Y]
satp,misa[X]
hstatus[/*VSXL],misa[V]
hstatus[VTSR],misa[U]
hstatus[VTW],misa[T]
hstatus[VTVM],misa[S]
hstatus[VGEIN],misa[R]
hstatus[HU],misa[Q]
hstatus[SPVP],misa[P]
hstatus[SPV],misa[O]
hstatus[GVA],misa[N]
hstatus[VSBE],misa[M]
hstatus,misa[L]
hedeleg,misa[K]
hideleg,misa[J]
htval,misa[I]
htinst,misa[H]
hgatp,misa[G]
vsstatus[SD],misa[F]
vsstatus[/*UXL],misa[D]
vsstatus[MXR],misa[C]
vsstatus[SUM],misa[B]
vsstatus[XS],misa[A]
vsstatus[FS],misa
vsstatus[VS],medeleg[SAMO_GPage_Fault]
vsstatus[SPP],medeleg[Virtual_Instr]
vsstatus[UBE],medeleg[Load_GPage_Fault]
vsstatus[SPIE],medeleg[Fetch_GPage_Fault]
vsstatus[SIE],medeleg[SAMO_Page_Fault]
vsstatus,medeleg[Load_Page_Fault]
vscause,medeleg[Fetch_Page_Fault]
vsatp,medeleg[MEnvCall]
mstatus[SD],medeleg[VSEnvCall]
mstatus[TSR],medeleg[HSEnvCall]
mstatus[MPRV],medeleg[UEnvCall]
mstatus[FS],medeleg[SAMO_Access_Fault]
mstatus,medeleg[SAMO_Addr_Align]
mcause,medeleg[Load_Access_Fault]
mtval,medeleg[Load_Addr_Align]
vxrm,medeleg[Breakpoint]
vcsr[vxrm],medeleg[Illegal_Instr]
vcsr[vxsat],medeleg[Fetch_Access_Fault]
vcsr,medeleg[Fetch_Addr_Align]
mstatus[VS],medeleg
mstatus[XS],mideleg
mstatus[MXR],mtvec[Base]
mstatus[SUM],mtvec[Mode]
mstatus[SPP],mtvec
mstatus[SPIE],mcounteren
mstatus[UPIE],mcountinhibit
mstatus[SIE],mscratch
mstatus[UIE],mepc
mie,mcause[IsInterrupt]
mip,mcause[Cause]
,mtval2
,mtinst
,mcycle
,minstret
,mcycleh
,minstreth
,tselect
